House age,Distance to the nearest MRT station,Number of convenience stores, latitude, longitude,house price of unit area,Date,Market_segment
32,84.87882,10,24.98298,121.54024,37.9,1/1/2018,Direct
19.5,306.5947,9,24.98034,121.53951,42.2,1/2/2018,Direct
13.3,561.9845,5,24.98746,121.54391,47.3,1/3/2018,Direct
13.3,561.9845,5,24.98746,121.54391,54.8,1/4/2018,Corporate
5,390.5684,5,24.97937,121.54245,43.1,1/5/2018,Online TA
7.1,2175.03,3,24.96305,121.51254,32.1,1/6/2018,Online TA
34.5,623.4731,7,24.97933,121.53642,40.3,1/7/2018,Direct
20.3,287.6025,6,24.98042,121.54228,46.7,1/8/2018,Direct
31.7,5512.038,1,24.95095,121.48458,18.8,1/9/2018,Online TA
17.9,1783.18,3,24.96731,121.51486,22.1,1/10/2018,Offline TA/TO
34.8,405.2134,1,24.97349,121.53372,41.4,1/11/2018,Online TA
6.3,90.45606,9,24.97433,121.5431,58.1,1/12/2018,Online TA
13,492.2313,5,24.96515,121.53737,39.3,1/13/2018,Online TA
20.4,2469.645,4,24.96108,121.51046,23.8,1/14/2018,Online TA
13.2,1164.838,4,24.99156,121.53406,34.3,1/15/2018,Online TA
35.7,579.2083,2,24.9824,121.54619,50.5,1/16/2018,Online TA
0,292.9978,6,24.97744,121.54458,70.1,1/17/2018,Offline TA/TO
17.7,350.8515,1,24.97544,121.53119,37.4,1/18/2018,Online TA
16.9,368.1363,8,24.9675,121.54451,42.3,1/19/2018,Corporate
1.5,23.38284,7,24.96772,121.54102,47.7,1/20/2018,Direct
4.5,2275.877,3,24.96314,121.51151,29.3,1/21/2018,Online TA
10.5,279.1726,7,24.97528,121.54541,51.6,1/22/2018,Direct
14.7,1360.139,1,24.95204,121.54842,24.6,1/23/2018,Direct
10.1,279.1726,7,24.97528,121.54541,47.9,1/24/2018,Direct
39.6,480.6977,4,24.97353,121.53885,38.8,1/25/2018,Offline TA/TO
29.3,1487.868,2,24.97542,121.51726,27,1/26/2018,Offline TA/TO
3.1,383.8624,5,24.98085,121.54391,56.2,1/27/2018,Offline TA/TO
10.4,276.449,5,24.95593,121.53913,33.6,1/28/2018,Online TA
19.2,557.478,4,24.97419,121.53797,47,1/29/2018,Online TA
7.1,451.2438,5,24.97563,121.54694,57.1,1/30/2018,Online TA
25.9,4519.69,0,24.94826,121.49587,22.1,1/31/2018,Direct
29.6,769.4034,7,24.98281,121.53408,25,2/1/2018,Offline TA/TO
37.9,488.5727,1,24.97349,121.53451,34.2,2/2/2018,Direct
16.5,323.655,6,24.97841,121.54281,49.3,2/3/2018,Offline TA/TO
15.4,205.367,7,24.98419,121.54243,55.1,2/4/2018,Online TA
13.9,4079.418,0,25.01459,121.51816,27.3,2/5/2018,Online TA
14.7,1935.009,2,24.96386,121.51458,22.9,2/6/2018,Online TA
12,1360.139,1,24.95204,121.54842,25.3,2/7/2018,Online TA
3.1,577.9615,6,24.97201,121.54722,47.7,2/8/2018,Online TA
16.2,289.3248,5,24.98203,121.54348,46.2,2/9/2018,Direct
13.6,4082.015,0,24.94155,121.50381,15.9,2/10/2018,Online TA
16.8,4066.587,0,24.94297,121.50342,18.2,2/11/2018,Offline TA/TO
36.1,519.4617,5,24.96305,121.53758,34.7,2/12/2018,Direct
34.4,512.7871,6,24.98748,121.54301,34.1,2/13/2018,Direct
2.7,533.4762,4,24.97445,121.54765,53.9,2/14/2018,Online TA
36.6,488.8193,8,24.97015,121.54494,38.3,2/15/2018,Online TA
21.7,463.9623,9,24.9703,121.54458,42,2/16/2018,Offline TA/TO
35.9,640.7391,3,24.97563,121.53715,61.5,2/17/2018,Offline TA/TO
24.2,4605.749,0,24.94684,121.49578,13.4,2/18/2018,Offline TA/TO
29.4,4510.359,1,24.94925,121.49542,13.2,2/19/2018,Online TA
21.7,512.5487,4,24.974,121.53842,44.2,2/20/2018,Offline TA/TO
31.3,1758.406,1,24.95402,121.55282,20.7,2/21/2018,Offline TA/TO
32.1,1438.579,3,24.97419,121.5175,27,2/22/2018,Offline TA/TO
13.3,492.2313,5,24.96515,121.53737,38.9,2/23/2018,Online TA
16.1,289.3248,5,24.98203,121.54348,51.7,2/24/2018,Online TA
31.7,1160.632,0,24.94968,121.53009,13.7,2/25/2018,Direct
33.6,371.2495,8,24.97254,121.54059,41.9,2/26/2018,Direct
3.5,56.47425,7,24.95744,121.53711,53.5,2/27/2018,Online TA
30.3,4510.359,1,24.94925,121.49542,22.6,2/28/2018,Direct
13.3,336.0532,5,24.95776,121.53438,42.4,3/1/2018,Online TA
11,1931.207,2,24.96365,121.51471,21.3,3/2/2018,Online TA
5.3,259.6607,6,24.97585,121.54516,63.2,3/3/2018,Online TA
17.2,2175.877,3,24.96303,121.51254,27.7,3/4/2018,Direct
2.6,533.4762,4,24.97445,121.54765,55,3/5/2018,Offline TA/TO
17.5,995.7554,0,24.96305,121.54915,25.3,3/6/2018,Online TA
40.1,123.7429,8,24.97635,121.54329,44.3,3/7/2018,Online TA
1,193.5845,6,24.96571,121.54089,50.7,3/8/2018,Online TA
8.5,104.8101,5,24.96674,121.54067,56.8,3/9/2018,Online TA
30.4,464.223,6,24.97964,121.53805,36.2,3/10/2018,Offline TA/TO
12.5,561.9845,5,24.98746,121.54391,42,3/11/2018,Online TA
6.6,90.45606,9,24.97433,121.5431,59,3/12/2018,Online TA
35.5,640.7391,3,24.97563,121.53715,40.8,3/13/2018,Online TA
32.5,424.5442,8,24.97587,121.53913,36.3,3/14/2018,Offline TA/TO
13.8,4082.015,0,24.94155,121.50381,20,3/15/2018,Online TA
6.8,379.5575,10,24.98343,121.53762,54.4,3/16/2018,Online TA
12.3,1360.139,1,24.95204,121.54842,29.5,3/17/2018,Online TA
35.9,616.4004,3,24.97723,121.53767,36.8,3/18/2018,Online TA
20.5,2185.128,3,24.96322,121.51237,25.6,3/19/2018,Online TA
38.2,552.4371,2,24.97598,121.53381,29.8,3/20/2018,Offline TA/TO
18,1414.837,1,24.95182,121.54887,26.5,3/21/2018,Offline TA/TO
11.8,533.4762,4,24.97445,121.54765,40.3,3/22/2018,Offline TA/TO
30.8,377.7956,6,24.96427,121.53964,36.8,3/23/2018,Offline TA/TO
13.2,150.9347,7,24.96725,121.54252,48.1,3/24/2018,Offline TA/TO
25.3,2707.392,3,24.96056,121.50831,17.7,3/25/2018,Direct
15.1,383.2805,7,24.96735,121.54464,43.7,3/26/2018,Offline TA/TO
0,338.9679,9,24.96853,121.54413,50.8,3/27/2018,Offline TA/TO
1.8,1455.798,1,24.9512,121.549,27,3/28/2018,Online TA
16.9,4066.587,0,24.94297,121.50342,18.3,3/29/2018,Offline TA/TO
8.9,1406.43,0,24.98573,121.52758,48,3/30/2018,Online TA
23,3947.945,0,24.94783,121.50243,25.3,3/31/2018,Online TA
0,274.0144,1,24.9748,121.53059,45.4,4/1/2018,Online TA
9.1,1402.016,0,24.98569,121.5276,43.2,4/2/2018,Online TA
20.6,2469.645,4,24.96108,121.51046,21.8,4/3/2018,Online TA
31.9,1146.329,0,24.9492,121.53076,16.1,4/4/2018,Online TA
40.9,167.5989,5,24.9663,121.54026,41,4/5/2018,Online TA
8,104.8101,5,24.96674,121.54067,51.8,4/6/2018,Online TA
6.4,90.45606,9,24.97433,121.5431,59.5,4/7/2018,Online TA
28.4,617.4424,3,24.97746,121.53299,34.6,4/8/2018,Offline TA/TO
16.4,289.3248,5,24.98203,121.54348,51,4/9/2018,Online TA
6.4,90.45606,9,24.97433,121.5431,62.2,4/10/2018,Direct
17.5,964.7496,4,24.98872,121.53411,38.2,4/11/2018,Direct
12.7,170.1289,1,24.97371,121.52984,32.9,4/12/2018,Offline TA/TO
1.1,193.5845,6,24.96571,121.54089,54.4,4/13/2018,Offline TA/TO
0,208.3905,6,24.95618,121.53844,45.7,4/14/2018,Online TA
32.7,392.4459,6,24.96398,121.5425,30.5,4/15/2018,Online TA
0,292.9978,6,24.97744,121.54458,71,4/16/2018,Online TA
17.2,189.5181,8,24.97707,121.54308,47.1,4/17/2018,Direct
12.2,1360.139,1,24.95204,121.54842,26.6,4/18/2018,Online TA
31.4,592.5006,2,24.9726,121.53561,34.1,4/19/2018,Offline TA/TO
4,2147.376,3,24.96299,121.51284,28.4,4/20/2018,Online TA
8.1,104.8101,5,24.96674,121.54067,51.6,4/21/2018,Online TA
33.3,196.6172,7,24.97701,121.54224,39.4,4/22/2018,Online TA
9.9,2102.427,3,24.96044,121.51462,23.1,4/23/2018,Online TA
